-------,__fsid_t,dirent,enum (unnamed at /usr/include/dirent.h:97:1),__mbstate_t,_G_fpos_t,_G_fpos64_t,_IO_FILE,_IO_FILE,_IO_FILE,_IO_FILE,_IO_cookie_io_functions_t,div_t,ldiv_t,lldiv_t,__bswap_16,__bswap_32,__bswap_64,__uint16_identity,__uint32_identity,__uint64_identity,__sigset_t,timeval,timespec,fd_set,__pthread_internal_list,__pthread_internal_slist,__pthread_mutex_s,__pthread_rwlock_arch_t,__pthread_cond_s,__once_flag,random_data,drand48_data,__locale_struct,enum (unnamed at /usr/include/bits/confname.h:24:1),enum (unnamed at /usr/include/bits/confname.h:71:1),enum (unnamed at /usr/include/bits/confname.h:539:1),z_stream_s,gz_header_s,gzFile_s,gzFile_s,read_c_file,Buff,BuffDB,dbAppend,makeBuff,makeZBuff,catBuffs,maxBuff,minBuff,normCompDist,makeDB,writeDB,crawl_dir,main
random_data,0.958333,0.760417,0.854167,0.802083,0.869792,0.880208,0.912387,0.912387,0.912387,0.912387,0.750000,0.807292,0.807292,0.812500,0.817708,0.802083,0.817708,0.869792,0.854167,0.869792,0.901042,0.807292,0.819549,0.779904,0.843750,0.854167,0.852410,0.866667,0.802083,0.916667,0.052083,0.729167,0.767857,0.946108,0.994144,0.966620,0.884368,0.871314,0.854167,0.854167,0.891667,0.885417,0.875000,0.817708,0.822917,0.796875,0.822917,0.869792,0.869792,0.822917,0.839506,0.843750,0.893617,0.825641
drand48_data,0.951087,0.711957,0.869565,0.809783,0.880435,0.885870,0.918429,0.918429,0.918429,0.918429,0.777174,0.831522,0.804348,0.798913,0.809783,0.804348,0.804348,0.853261,0.853261,0.853261,0.858696,0.804348,0.804511,0.803828,0.864130,0.858696,0.819277,0.855072,0.782609,0.907609,0.729167,0.054348,0.732143,0.958084,0.996211,0.974965,0.901499,0.887399,0.820652,0.820652,0.900000,0.880435,0.880435,0.826087,0.826087,0.804348,0.826087,0.880435,0.875000,0.820652,0.843621,0.853261,0.901596,0.835897
__locale_struct,0.968750,0.767857,0.892857,0.821429,0.879464,0.883929,0.898792,0.898792,0.898792,0.898792,0.794643,0.861607,0.857143,0.857143,0.843750,0.839286,0.839286,0.883929,0.875000,0.883929,0.866071,0.830357,0.827068,0.776786,0.857143,0.848214,0.822289,0.831884,0.794643,0.892857,0.767857,0.741071,0.044643,0.967066,0.997933,0.977747,0.888651,0.865952,0.848214,0.848214,0.858333,0.879464,0.875000,0.821429,0.821429,0.803571,0.830357,0.883929,0.883929,0.839286,0.831276,0.861607,0.872340,0.825893
enum (unnamed at /usr/include/bits/confname.h:24:1),0.958084,0.940120,0.877245,0.943114,0.955090,0.964072,0.992447,0.992447,0.992447,0.992447,0.928144,0.952096,0.955090,0.958084,0.928144,0.922156,0.925150,0.961078,0.958084,0.961078,0.958084,0.937126,0.907186,0.925150,0.967066,0.964072,0.940120,0.939130,0.943114,0.952096,0.949102,0.958084,0.961078,0.053892,0.976576,0.948540,0.993576,0.986595,0.964072,0.964072,0.963889,0.970060,0.964072,0.964072,0.952096,0.967066,0.946108,0.958084,0.958084,0.949102,0.967066,0.958084,0.970745,0.982036
enum (unnamed at /usr/include/bits/confname.h:71:1),0.995177,0.994833,0.988288,0.993111,0.996555,0.996555,1.010334,1.010334,1.010334,1.010334,0.993800,0.995177,0.995177,0.995522,0.994488,0.994144,0.994144,0.996900,0.996900,0.996900,0.995866,0.991733,0.988977,0.994144,0.996211,0.995866,0.997933,0.994144,0.995177,0.996555,0.996211,0.999311,0.998967,0.978987,0.079917,0.986910,1.013090,1.007923,0.996900,0.996900,1.004823,0.997589,0.997589,0.998622,0.996900,0.998622,0.996211,0.997244,0.997589,0.997244,1.001378,0.999656,1.006545,1.002756
enum (unnamed at /usr/include/bits/confname.h:539:1),0.983310,0.970793,0.951321,0.970793,0.981919,0.983310,1.013908,1.013908,1.013908,1.013908,0.972184,0.970793,0.973574,0.972184,0.968011,0.968011,0.968011,0.979138,0.980529,0.980529,0.981919,0.963839,0.952712,0.966620,0.977747,0.977747,0.970793,0.955494,0.976356,0.981919,0.974965,0.977747,0.980529,0.948540,0.989321,0.101530,1.023644,1.009736,0.980529,0.980529,0.998609,0.983310,0.981919,0.981919,0.976356,0.983310,0.974965,0.981919,0.981919,0.984701,0.988873,0.980529,0.998609,0.997218
z_stream_s,0.985011,0.916488,0.959315,0.927195,0.946467,0.950749,0.906344,0.906344,0.906344,0.906344,0.907923,0.935760,0.933619,0.937901,0.929336,0.922912,0.927195,0.948608,0.946467,0.948608,0.957173,0.931477,0.914347,0.914347,0.935760,0.935760,0.888651,0.901499,0.920771,0.961456,0.886510,0.907923,0.873662,0.993576,1.011023,1.019472,0.034261,0.815846,0.931477,0.931477,0.882227,0.944326,0.948608,0.927195,0.916488,0.895075,0.922912,0.950749,0.950749,0.927195,0.931477,0.944326,0.905782,0.931477
gz_header_s,0.983914,0.908847,0.954424,0.927614,0.943700,0.949062,0.919940,0.919940,0.919940,0.919940,0.892761,0.930295,0.932976,0.935657,0.919571,0.916890,0.916890,0.938338,0.938338,0.938338,0.951743,0.924933,0.890080,0.898123,0.924933,0.922252,0.890080,0.887399,0.908847,0.965147,0.879357,0.908847,0.865952,0.986595,1.005167,1.006954,0.826552,0.042895,0.922252,0.922252,0.873995,0.941019,0.935657,0.911528,0.908847,0.882038,0.911528,0.930295,0.932976,0.906166,0.903485,0.927614,0.882979,0.914209
gzFile_s,0.876712,0.813559,0.879518,0.792453,0.726027,0.671233,0.944109,0.944109,0.944109,0.944109,0.812500,0.794521,0.767123,0.794521,0.801527,0.801527,0.786260,0.739726,0.739726,0.712329,0.698630,0.782258,0.887218,0.870813,0.712329,0.684932,0.894578,0.892754,0.794326,0.808219,0.843750,0.820652,0.852679,0.961078,0.996211,0.977747,0.925054,0.908847,0.054795,0.054795,0.919444,0.698630,0.726027,0.844156,0.781250,0.843931,0.814286,0.780822,0.780822,0.853659,0.905350,0.861111,0.922872,0.902564
gzFile_s,0.876712,0.813559,0.879518,0.792453,0.726027,0.671233,0.944109,0.944109,0.944109,0.944109,0.812500,0.794521,0.767123,0.794521,0.801527,0.801527,0.786260,0.739726,0.739726,0.712329,0.698630,0.782258,0.887218,0.870813,0.712329,0.684932,0.894578,0.892754,0.794326,0.808219,0.843750,0.820652,0.852679,0.961078,0.996211,0.977747,0.925054,0.908847,0.054795,0.054795,0.919444,0.698630,0.726027,0.844156,0.781250,0.843931,0.814286,0.780822,0.780822,0.853659,0.905350,0.861111,0.922872,0.902564
